Zone#,PD,Population,Work General,Work Manufacturing,Work Professional,Work Retail,Work Unknown,Employment,Employment General,Employment Manufacturing,Employment Professional,Employment Retail,Employment Unknown,X,Y,Internal Distance,Retail Level,Other Level,Work Level,Internal Density,Parking Cost,Artirial Percentage
2756,26,429.67,0,0,0,0,0,0,0,0,0,0,0,619255,4887312,291.7914019,0,0,0,0,0,0
2757,26,35.52,0,0,0,0,0,0,0,0,0,0,0,622003,4893208,771.1474495,0,0,0,0,0,0
2758,26,409.37,0,0,0,0,0,0,0,0,0,0,0,620080,4887888,391.8556636,0,0,0,0,0,0
2759,26,910.54,0,0,0,0,0,0,0,0,0,0,0,620647,4886184,363.6787349,0,0,0,0,0,0
2760,26,5268.5,0,0,0,0,0,0,0,0,0,0,0,621449,4883990,399.3946461,0,0,0,0,0,0
2761,26,0,0,0,0,0,0,0,0,0,0,0,0,621075,4883017,228.3641098,0,0,0,0,0,0
2762,26,0,0,0,0,0,0,0,0,0,0,0,0,621488,4881100,251.6567327,0,0,0,0,0,0
2763,26,464.14,0,0,0,0,0,0,0,0,0,0,0,624603,4883144,400.8094241,0,0,0,0,0,0
2764,26,88.22,0,0,0,0,0,0,0,0,0,0,0,624312,4884786,301.2901887,0,0,0,0,0,0
2765,26,395.21,0,0,0,0,0,0,0,0,0,0,0,623577,4887431,340.0880197,0,0,0,0,0,0
2766,26,73.68,0,0,0,0,0,0,0,0,0,0,0,623777,4888746,342.4306905,0,0,0,0,0,0
2767,26,208.86,0,0,0,0,0,0,0,0,0,0,0,623258,4892748,483.2687888,0,0,0,0,0,0
2768,26,0,0,0,0,0,0,0,0,0,0,0,0,623935,4889680,247.2767231,0,0,0,0,0,0
2769,26,0,0,0,0,0,0,0,0,0,0,0,0,625749,4889162,234.9428417,0,0,0,0,0,0
2770,26,177.64,0,0,0,0,0,0,0,0,0,0,0,624176,4887640,254.0224728,0,0,0,0,0,0
2771,26,122.84,0,0,0,0,0,0,0,0,0,0,0,625812,4888838,228.1835275,0,0,0,0,0,0
2772,26,1479.66,0,0,0,0,0,0,0,0,0,0,0,625058,4884816,303.4555157,0,0,0,0,0,0
2773,26,16.27,0,0,0,0,0,0,0,0,0,0,0,626631,4885090,155.4576577,0,0,0,0,0,0
2774,26,980.86,0,0,0,0,0,0,0,0,0,0,0,625294,4884056,283.1917784,0,0,0,0,0,0
2775,26,0,0,0,0,0,0,0,0,0,0,0,0,627005,4883488,190.9397083,0,0,0,0,0,0
2776,26,0,0,0,0,0,0,0,0,0,0,0,0,625280,4882336,112.2510826,0,0,0,0,0,0
2777,26,0,0,0,0,0,0,0,0,0,0,0,0,627382,4881045,237.3849429,0,0,0,0,0,0
2778,26,0,0,0,0,0,0,0,0,0,0,0,0,627821,4881202,186.4405625,0,0,0,0,0,0
2779,26,398.31,0,0,0,0,0,0,0,0,0,0,0,628662,4883474,652.6672625,0,0,0,0,0,0
2780,26,805.24,0,0,0,0,0,0,0,0,0,0,0,627326,4890885,1079.780186,0,0,0,0,0,0
2781,26,1717.51,0,0,0,0,0,0,0,0,0,0,0,632486,4891712,1228.190912,0,0,0,0,0,0
